name,height,weight,pet
Fred,6.9,209.188,Cat
Dennis,5.7,153.604,Cat
Helen,5.6,148.972,Dog
Anna,3.3,42.436,Cat
Lori,7.2,223.084,Cat
Rose,3,28.54,Dog
Bonnie,7.6,241.612,Dog
Joe,6.4,186.028,Dog
Alan,7.9,255.508,Dog
Betty,6.1,172.132,Dog
Richard,4.1,79.492,Dog
Heather,7.9,255.508,Dog
Jesse,5.5,144.34,Cat
Carol,5,121.18,Dog
Pamela,3.8,65.596,Cat
Juan,7.8,250.876,Cat
Kathleen,6.9,209.188,Cat
Clarence,5.9,162.868,Cat
Willie,4.6,102.652,Cat
Judith,5.9,162.868,Cat
Stephanie,5.6,148.972,Dog
Mary,4.9,116.548,Cat
Clarence,6.7,199.924,Dog
Shawn,4.4,93.388,Dog
Willie,7.7,246.244,Cat
Ruth,6.8,204.556,Cat
Virginia,8,260.14,Dog
Keith,3.3,42.436,Cat
Jeffrey,3.3,42.436,Cat
Lillian,3.3,42.436,Dog
Paul,4.2,84.124,Cat
Ralph,3.7,60.964,Cat
Raymond,3,28.54,Cat
Roger,4.8,111.916,Cat
Norma,3.6,56.332,Dog
Scott,4.7,107.284,Dog
David,7,213.82,Cat
Martha,6.3,181.396,Cat
Thomas,6.1,172.132,Dog
Annie,4.1,79.492,Dog
Julia,7,213.82,Dog
Patrick,3.4,47.068,Cat
Nancy,6.4,186.028,Cat
Susan,6.1,172.132,Dog
Joan,4.5,98.02,Cat
Joshua,6.1,172.132,Dog
Bonnie,7.5,236.98,Cat
Elizabeth,5.4,139.708,Cat
Wanda,5.9,162.868,Dog
Judy,4.5,98.02,Cat
Sandra,7.9,255.508,Dog
David,4.7,107.284,Cat
Henry,4.7,107.284,Dog
Annie,6.6,195.292,Cat
Angela,7.8,250.876,Dog
Ruth,4.3,88.756,Cat
Wanda,4.9,116.548,Dog
Irene,5,121.18,Dog
Andrew,3.1,33.172,Dog
Rachel,7.9,255.508,Cat
Jack,7,213.82,Cat
Barbara,5.3,135.076,Dog
Marilyn,7.9,255.508,Cat
Jeffrey,5.1,125.812,Dog
Gerald,6.9,209.188,Dog
Matthew,3.7,60.964,Dog
Randy,8,260.14,Cat
Juan,5.7,153.604,Cat
Kimberly,5.1,125.812,Cat
George,3.4,47.068,Dog
Virginia,7.6,241.612,Dog
Patricia,7.9,255.508,Cat
Ruth,3.1,33.172,Cat
Lawrence,5.8,158.236,Cat
Lori,6.6,195.292,Dog
Cynthia,4.6,102.652,Cat
Norma,5.5,144.34,Cat
Shirley,5.6,148.972,Dog
Lawrence,6.5,190.66,Dog
Clarence,5.7,153.604,Dog
Cynthia,6.4,186.028,Dog
Jennifer,3.8,65.596,Dog
Eric,5.5,144.34,Dog
Kevin,7.4,232.348,Dog
Craig,7.5,236.98,Cat
Janet,5.7,153.604,Cat
Alan,4.9,116.548,Cat
Willie,3.4,47.068,Dog
Dorothy,5.8,158.236,Dog
Jimmy,4.5,98.02,Dog
Virginia,4.9,116.548,Dog
Jessica,4,74.86,Cat
Gerald,7.6,241.612,Dog
Jacqueline,7,213.82,Cat
Maria,4.9,116.548,Cat
Stephanie,4.7,107.284,Cat
Catherine,4.4,93.388,Dog
Maria,3.2,37.804,Dog
Matthew,3.3,42.436,Dog
Roy,4.5,98.02,Dog
Tammy,6.9,209.188,Cat
Jessica,3.2,37.804,Dog
Evelyn,6.7,199.924,Cat
Betty,5.8,158.236,Dog
Rose,7.1,218.452,Dog
Kathleen,8,260.14,Dog
Jeremy,6.5,190.66,Cat
Benjamin,6.2,176.764,Dog
Janet,3,28.54,Cat
Walter,8,260.14,Cat
Paul,5.2,130.444,Cat
Stephen,4.9,116.548,Cat
Steve,5.6,148.972,Cat
Henry,5.7,153.604,Dog
Ruby,5.1,125.812,Dog
John,3.5,51.7,Dog
Philip,7.2,223.084,Dog
Kelly,4.9,116.548,Cat
Pamela,3.5,51.7,Dog
Michelle,7,213.82,Cat
Jason,7.6,241.612,Dog
Sara,5.2,130.444,Cat
Pamela,5.6,148.972,Cat
Alice,5.7,153.604,Cat
Roy,6.3,181.396,Cat
Carlos,7.3,227.716,Dog
Steven,3.7,60.964,Dog
Ruth,6,167.5,Dog
Jose,4.2,84.124,Cat
Russell,6.6,195.292,Dog
Janet,6.4,186.028,Dog
Jeremy,3.2,37.804,Cat
Jean,6.3,181.396,Cat
Donna,3.5,51.7,Dog
Alan,3.4,47.068,Dog
Margaret,5,121.18,Cat
Linda,4.5,98.02,Cat
Sean,6.2,176.764,Dog
Anthony,3.5,51.7,Cat
Frank,4.7,107.284,Cat
Joan,5.3,135.076,Cat
Catherine,6,167.5,Cat
Joshua,6,167.5,Cat
Justin,3.3,42.436,Dog
Maria,6.2,176.764,Dog
Gloria,7.6,241.612,Dog
Alan,6.1,172.132,Cat
Raymond,5.6,148.972,Cat
Andrew,3.4,47.068,Dog
Kelly,5.4,139.708,Cat
Henry,3,28.54,Cat
Earl,7.3,227.716,Dog
Pamela,5.4,139.708,Dog
Marie,4.6,102.652,Dog
Kimberly,6.2,176.764,Cat
Roy,7.9,255.508,Cat
Nicole,3.4,47.068,Cat
Jeremy,3.3,42.436,Cat
Adam,6.3,181.396,Cat
Susan,5.4,139.708,Dog
Joseph,3.8,65.596,Cat
Gary,6.2,176.764,Cat
Paula,7.6,241.612,Dog
Rose,3.5,51.7,Cat
Sandra,6.5,190.66,Cat
Carol,6.4,186.028,Cat
Michelle,4.1,79.492,Cat
Andrea,7.5,236.98,Cat
Joan,3.6,56.332,Cat
Jane,3.4,47.068,Cat
Phillip,4.6,102.652,Dog
Lois,7.3,227.716,Dog
Christine,7.9,255.508,Cat
Susan,4.9,116.548,Dog
Justin,5.9,162.868,Cat
Dennis,5.2,130.444,Cat
Deborah,7.5,236.98,Dog
Annie,3.8,65.596,Cat
Johnny,7.4,232.348,Dog
Antonio,7.6,241.612,Cat
Martin,4.7,107.284,Dog
Mildred,4.1,79.492,Cat
Frank,5.9,162.868,Cat
Lillian,6.2,176.764,Cat
Joyce,7,213.82,Cat
Harry,3.4,47.068,Dog
Heather,4.2,84.124,Cat
Maria,3.1,33.172,Cat
Jerry,3.5,51.7,Dog
Beverly,5.7,153.604,Dog
Heather,3,28.54,Dog
Tina,3.2,37.804,Dog
Jonathan,6.5,190.66,Dog
Diane,5.8,158.236,Cat
Marie,3.1,33.172,Dog
Sharon,3.7,60.964,Cat
Phyllis,5,121.18,Cat
Jose,7.2,223.084,Dog
Larry,6.5,190.66,Cat
Judith,7.4,232.348,Dog
Ann,6.4,186.028,Cat
Clarence,5.1,125.812,Dog
Julie,5.5,144.34,Dog
Evelyn,7.6,241.612,Cat
Ruby,4,74.86,Dog
Ruth,5,121.18,Dog
Betty,5.8,158.236,Cat
Anne,3.6,56.332,Dog
John,7.5,236.98,Cat
John,4.9,116.548,Dog
Stephanie,4.5,98.02,Cat
Andrew,7.1,218.452,Cat
Janet,5.4,139.708,Cat
Julia,6.8,204.556,Cat
Terry,7.2,223.084,Cat
Ryan,3.6,56.332,Cat
Mark,5.1,125.812,Cat
James,7.7,246.244,Cat
Kimberly,5.8,158.236,Cat
Jeremy,3.7,60.964,Dog
Ruby,5.9,162.868,Dog
Bruce,4,74.86,Cat
Jason,7.6,241.612,Cat
Jeremy,3.2,37.804,Cat
Willie,3.9,70.228,Cat
Andrea,4.1,79.492,Dog
Rebecca,4.8,111.916,Cat
Louise,5.3,135.076,Dog
Angela,4.8,111.916,Dog
Carl,7.4,232.348,Cat
Craig,3.7,60.964,Dog
Benjamin,7.4,232.348,Cat
Kelly,4.8,111.916,Dog
Henry,5.7,153.604,Cat
Robin,6.1,172.132,Dog
Lori,5.3,135.076,Cat
Earl,3.7,60.964,Cat
Mary,7.5,236.98,Dog
Diana,6.5,190.66,Cat
Robert,7.8,250.876,Cat
Jerry,4.9,116.548,Cat
Bobby,5.6,148.972,Cat
Janice,4.8,111.916,Cat
Johnny,5.1,125.812,Dog
Juan,3.6,56.332,Cat
Tammy,4,74.86,Cat
William,4.5,98.02,Dog
Theresa,3.9,70.228,Cat
Amanda,3.6,56.332,Dog
Earl,4.9,116.548,Dog
Sharon,6.7,199.924,Dog
Randy,4.8,111.916,Dog
Eugene,5,121.18,Dog
Joan,3.2,37.804,Cat
Evelyn,3.8,65.596,Dog
Jack,4.1,79.492,Cat
Susan,4.2,84.124,Cat
Wayne,6.4,186.028,Dog
Kimberly,6.9,209.188,Cat
Beverly,5.9,162.868,Dog
Irene,4.5,98.02,Cat
Charles,6.9,209.188,Cat
Diane,6.3,181.396,Cat
Andrew,6.6,195.292,Cat
Kimberly,5,121.18,Cat
Emily,7.6,241.612,Cat
David,7.6,241.612,Cat
Ronald,4.1,79.492,Dog
Bruce,7.3,227.716,Dog
Joyce,4.1,79.492,Cat
Brenda,6.8,204.556,Cat
Lori,4.5,98.02,Cat
Carl,6.2,176.764,Cat
Albert,6,167.5,Cat
Janet,7,213.82,Cat
Adam,7.5,236.98,Cat
Julie,7.7,246.244,Dog
Julie,5.9,162.868,Dog
Brandon,4.3,88.756,Dog
Rose,8,260.14,Dog
Justin,4.7,107.284,Dog
Ronald,4.6,102.652,Cat
Gregory,3.2,37.804,Cat
Gregory,5.6,148.972,Cat
Matthew,6.7,199.924,Dog
Douglas,7.2,223.084,Dog
Diana,6.1,172.132,Dog
Marie,7.9,255.508,Cat
Ronald,6.6,195.292,Cat
Melissa,4.1,79.492,Dog
Ronald,7.3,227.716,Cat
Angela,4.7,107.284,Cat
Edward,3.6,56.332,Dog
Matthew,5.6,148.972,Cat
Adam,7.4,232.348,Cat
Jeffrey,4.2,84.124,Dog
Robin,7.7,246.244,Dog
Laura,3.8,65.596,Dog
Virginia,4.3,88.756,Cat
Amy,6.1,172.132,Dog
Irene,3.6,56.332,Cat
Donald,7.7,246.244,Dog
Gary,4.2,84.124,Cat
Keith,4.3,88.756,Cat
Kimberly,5.9,162.868,Cat
Jose,4.2,84.124,Cat
Christopher,8,260.14,Cat
Joan,6,167.5,Dog
Roger,4.2,84.124,Cat
William,7.4,232.348,Cat
Jeffrey,6.3,181.396,Dog
Harold,3.8,65.596,Cat
Diana,7.7,246.244,Cat
Joseph,6,167.5,Cat
Dennis,6.6,195.292,Cat
Raymond,6.3,181.396,Cat
Joseph,5.4,139.708,Dog
Tammy,7.6,241.612,Dog
Aaron,6.3,181.396,Dog
Julia,6.8,204.556,Dog
Judy,5.5,144.34,Cat
Brian,4.2,84.124,Cat
Aaron,6.7,199.924,Dog
Jacqueline,3.3,42.436,Cat
Sean,6.3,181.396,Cat
Nicholas,6.9,209.188,Cat
Dennis,7.6,241.612,Dog
Lawrence,7.6,241.612,Dog
Ruby,6,167.5,Cat
Shirley,4.4,93.388,Cat
Elizabeth,6.8,204.556,Cat
Justin,4.5,98.02,Dog
Samuel,3.1,33.172,Cat
Pamela,4.2,84.124,Dog
Philip,6.5,190.66,Cat
Eugene,6.3,181.396,Cat
Craig,4.1,79.492,Dog
Mark,4.6,102.652,Cat
Pamela,3.9,70.228,Cat
Denise,5.3,135.076,Dog
Benjamin,3.3,42.436,Cat
Martin,5.5,144.34,Cat
Keith,4.8,111.916,Cat
James,3.8,65.596,Cat
Jean,7.1,218.452,Dog
Ann,6.2,176.764,Cat
Jason,6.8,204.556,Dog
Dorothy,6.4,186.028,Dog
Lawrence,6.9,209.188,Cat
Christine,4.1,79.492,Cat
Benjamin,6.9,209.188,Cat
Janet,6.7,199.924,Cat
George,7,213.82,Cat
Joseph,4.4,93.388,Cat
Jason,5.4,139.708,Cat
Jesse,5.5,144.34,Dog
Susan,4.7,107.284,Cat
Harry,6.7,199.924,Dog
Craig,6.1,172.132,Dog
Tammy,7.4,232.348,Dog
James,6.1,172.132,Dog
Nancy,6.7,199.924,Cat
Angela,4.2,84.124,Dog
Wayne,4.4,93.388,Dog
Gary,4.3,88.756,Cat
Cynthia,4,74.86,Dog
Lisa,3.3,42.436,Cat
Helen,6.6,195.292,Dog
Jessica,4.7,107.284,Dog
Catherine,7.2,223.084,Dog
Eric,5.2,130.444,Dog
Kelly,3.3,42.436,Dog
Kelly,5.5,144.34,Cat
Annie,4.6,102.652,Cat
Theresa,5.8,158.236,Dog
Paul,5.6,148.972,Cat
Sandra,6,167.5,Dog
Judith,6.6,195.292,Dog
Jennifer,6.7,199.924,Cat
Steven,7,213.82,Cat
Ryan,4.3,88.756,Dog
Jacqueline,7.8,250.876,Dog
Helen,7.5,236.98,Dog
Jack,5.7,153.604,Cat
Henry,4,74.86,Cat
Cynthia,6.7,199.924,Cat
William,7.8,250.876,Cat
James,4.7,107.284,Dog
Juan,7.2,223.084,Cat
Brenda,4.6,102.652,Dog
Larry,6,167.5,Dog
Anna,7.4,232.348,Cat
Debra,6.7,199.924,Dog
Rachel,6.4,186.028,Cat
Ruby,7.3,227.716,Dog
Rose,4.3,88.756,Dog
William,4,74.86,Cat
Ruby,3.6,56.332,Dog
Donald,5.5,144.34,Cat
Russell,5.9,162.868,Cat
Norma,5.6,148.972,Dog
Fred,4.1,79.492,Dog
Rose,4.6,102.652,Cat
Katherine,7.3,227.716,Dog
Kevin,6.7,199.924,Dog
Daniel,7.2,223.084,Cat
Joshua,6.9,209.188,Dog
Carlos,4.7,107.284,Cat
Ralph,7.9,255.508,Cat
Andrea,4.5,98.02,Dog
Anthony,5.1,125.812,Dog
Elizabeth,6.1,172.132,Cat
Walter,3.5,51.7,Cat
Brenda,4.8,111.916,Dog
Lori,6.4,186.028,Cat
Jennifer,4.2,84.124,Cat
Mildred,3.6,56.332,Dog
Dorothy,6.9,209.188,Cat
Matthew,7.1,218.452,Dog
Amanda,7.5,236.98,Cat
Cheryl,5.1,125.812,Dog
Helen,3.8,65.596,Dog
Jimmy,5.7,153.604,Cat
Clarence,3.4,47.068,Dog
Nicole,4.6,102.652,Cat
Brenda,4.3,88.756,Dog
Helen,4.9,116.548,Cat
Timothy,4.3,88.756,Cat
Nancy,3.2,37.804,Cat
Helen,3.9,70.228,Dog
Elizabeth,6.7,199.924,Cat
Diane,4.1,79.492,Dog
Lillian,6.5,190.66,Dog
Brandon,6.6,195.292,Dog
Scott,5.5,144.34,Cat
Donald,7.3,227.716,Cat
Willie,5.5,144.34,Cat
Dennis,6.5,190.66,Cat
Cheryl,4.6,102.652,Dog
Willie,4.8,111.916,Cat
Irene,7.7,246.244,Dog
Antonio,5.5,144.34,Dog
Frank,8,260.14,Dog
Eric,7.2,223.084,Cat
Robin,5.8,158.236,Dog
Kathryn,4.9,116.548,Cat
Janice,4.8,111.916,Cat
Gerald,3.4,47.068,Dog
Shirley,4.3,88.756,Dog
Steven,4.3,88.756,Cat
Anne,3.7,60.964,Cat
Nancy,6.9,209.188,Cat
Clarence,7.6,241.612,Cat
Richard,6.4,186.028,Dog
Carol,6.5,190.66,Cat
Shirley,5.7,153.604,Dog
Judy,7.2,223.084,Dog
Bobby,7.5,236.98,Dog
Amy,5,121.18,Cat
Brandon,4.9,116.548,Dog
Brandon,6,167.5,Dog
Alice,5.1,125.812,Dog
Catherine,6.6,195.292,Cat
Brenda,3,28.54,Dog
Ralph,4.7,107.284,Dog
Timothy,6.2,176.764,Cat
Jeremy,3.7,60.964,Dog
Lori,6.2,176.764,Dog
Mary,5.3,135.076,Dog
Thomas,5.8,158.236,Dog
Carl,4.9,116.548,Dog
Walter,6.2,176.764,Cat
Linda,4,74.86,Cat
Harry,5.6,148.972,Cat
Angela,6.9,209.188,Dog
Helen,6.8,204.556,Cat
Lawrence,6.8,204.556,Dog
Andrea,4.7,107.284,Cat
Earl,7.7,246.244,Dog
Harry,3.5,51.7,Dog
Nancy,5,121.18,Cat
Linda,7.3,227.716,Dog
Jason,3.2,37.804,Cat
Carl,4.9,116.548,Cat
Michael,7.5,236.98,Cat
Michelle,6.4,186.028,Cat
Adam,7.9,255.508,Cat
Diana,7.2,223.084,Dog
Brian,3.5,51.7,Dog
Kimberly,6.7,199.924,Cat
Gary,6.2,176.764,Dog
Pamela,3.8,65.596,Dog
Edward,6.4,186.028,Cat
Lori,6.9,209.188,Dog
Ronald,7.5,236.98,Cat
Bruce,4,74.86,Dog
Stephanie,5.7,153.604,Cat
Jesse,4.1,79.492,Dog
Nicholas,6.3,181.396,Cat
Anthony,4.1,79.492,Cat
Ann,3.3,42.436,Cat
Kelly,7.2,223.084,Cat
Andrew,4.6,102.652,Cat
Christopher,4.1,79.492,Dog
Samuel,5.1,125.812,Dog
Jeffrey,7.6,241.612,Dog
Rose,3.4,47.068,Cat
Richard,5.8,158.236,Dog
Jose,4.9,116.548,Dog
Kenneth,4.2,84.124,Cat
Anne,5.3,135.076,Cat
Bruce,6.9,209.188,Cat
Amy,5.8,158.236,Cat
Rose,4.8,111.916,Dog
Jeremy,4.1,79.492,Cat
Kathy,3.4,47.068,Cat
Emily,7.9,255.508,Dog
Edward,5.2,130.444,Dog
Mark,6.1,172.132,Dog
Jonathan,6.5,190.66,Dog
Aaron,4,74.86,Dog
Norma,6.7,199.924,Cat
Steve,3.2,37.804,Cat
Justin,3.5,51.7,Dog
Chris,6.3,181.396,Cat
Victor,4.8,111.916,Cat
Thomas,6.5,190.66,Dog
Harold,6,167.5,Dog
Paul,3.1,33.172,Cat
Joan,4.7,107.284,Dog
Jerry,7.1,218.452,Dog
Steve,7.2,223.084,Dog
Jeffrey,5.1,125.812,Dog
Russell,3.1,33.172,Cat
Tina,3.3,42.436,Cat
Katherine,7.5,236.98,Dog
Louis,7.7,246.244,Dog
Jason,5.8,158.236,Dog
Lisa,6.9,209.188,Dog
Rebecca,5.5,144.34,Dog
Joyce,4.3,88.756,Dog
Albert,5,121.18,Dog
Joan,7.8,250.876,Cat
Joyce,6,167.5,Dog
Keith,6.4,186.028,Dog
Carolyn,4.4,93.388,Cat
Daniel,6,167.5,Dog
Bruce,7.4,232.348,Cat
Billy,4.1,79.492,Cat
Edward,7.2,223.084,Cat
Jesse,4.8,111.916,Dog
Antonio,7.6,241.612,Dog
Ruby,6,167.5,Cat
Jose,7.7,246.244,Cat
Shirley,3.6,56.332,Cat
Harry,3.9,70.228,Cat
Eugene,5,121.18,Cat
Louis,3.3,42.436,Cat
Jeffrey,4.4,93.388,Cat
Kathleen,7,213.82,Dog
Annie,7.1,218.452,Dog
Arthur,6.8,204.556,Cat
Todd,4.1,79.492,Cat
Russell,5.7,153.604,Cat
Randy,5.1,125.812,Cat
George,7.9,255.508,Dog
Terry,7.3,227.716,Dog
James,6,167.5,Cat
Philip,6.8,204.556,Dog
Jennifer,7.1,218.452,Cat
Anthony,6.2,176.764,Dog
Angela,7.1,218.452,Cat
Jacqueline,5.7,153.604,Cat
George,7.5,236.98,Cat
Irene,6.8,204.556,Dog
Andrea,6.7,199.924,Dog
Jonathan,7.5,236.98,Dog
Elizabeth,7.9,255.508,Cat
Jonathan,7.7,246.244,Dog
Richard,7.1,218.452,Dog
Brian,7.7,246.244,Dog
William,6.1,172.132,Dog
Jeffrey,4.2,84.124,Cat
Doris,7.1,218.452,Cat
Bruce,4.5,98.02,Cat
Nancy,4.2,84.124,Dog
Harry,5.5,144.34,Cat
Julie,6.7,199.924,Dog
Larry,5.8,158.236,Dog
Willie,6.6,195.292,Cat
Harry,5.6,148.972,Cat
Kathleen,3.6,56.332,Dog
Jeffrey,6.3,181.396,Dog
Shawn,4.4,93.388,Cat
Kathryn,7.9,255.508,Dog
Brandon,7.1,218.452,Cat
Roy,3.6,56.332,Dog
Stephanie,7.1,218.452,Dog
Michelle,4.7,107.284,Cat
Tina,4.6,102.652,Cat
Cheryl,4.9,116.548,Cat
Ernest,6.2,176.764,Dog
Patricia,6.4,186.028,Dog
Ryan,7.9,255.508,Cat
Jimmy,7.4,232.348,Cat
Andrea,7.2,223.084,Cat
Katherine,5.6,148.972,Dog
Scott,7,213.82,Cat
Robert,7.1,218.452,Dog
Michael,3.2,37.804,Cat
Wanda,7.9,255.508,Dog
Jane,4.7,107.284,Cat
Clarence,5.9,162.868,Cat
Michelle,6.7,199.924,Cat
Howard,6.9,209.188,Dog
Judy,5.7,153.604,Dog
Phyllis,6.8,204.556,Dog
Bonnie,3.6,56.332,Cat
Jessica,6.9,209.188,Cat
Dennis,5,121.18,Cat
Melissa,7.9,255.508,Dog
Brian,7.1,218.452,Cat
Stephanie,6.7,199.924,Dog
Arthur,3.2,37.804,Cat
Betty,6.3,181.396,Cat
Marilyn,7.2,223.084,Cat
Douglas,5.6,148.972,Cat
Thomas,4.2,84.124,Dog
Bobby,7.8,250.876,Cat
Dennis,7,213.82,Cat
Dorothy,6.1,172.132,Dog
Larry,3.6,56.332,Cat
Jimmy,5.5,144.34,Dog
James,5.1,125.812,Cat
John,6.2,176.764,Cat
Ruby,3.1,33.172,Cat
Carol,3.4,47.068,Dog
Christine,4.5,98.02,Cat
Christopher,4.4,93.388,Dog
Sharon,3.4,47.068,Dog
Timothy,3.8,65.596,Cat
Wanda,3.8,65.596,Dog
Theresa,3.4,47.068,Cat
Kevin,5.7,153.604,Dog
Steve,4,74.86,Dog
Tina,3.5,51.7,Dog
Philip,4.3,88.756,Cat
Paula,7.6,241.612,Cat
David,7.4,232.348,Cat
Jessica,7.2,223.084,Cat
Shawn,3.7,60.964,Cat
Sara,6.4,186.028,Cat
Karen,3.2,37.804,Dog
Henry,4.1,79.492,Dog
Angela,6.1,172.132,Dog
Andrew,6.3,181.396,Cat
Juan,4.6,102.652,Dog
Paula,6.3,181.396,Cat
Brian,5.1,125.812,Dog
Raymond,3.4,47.068,Dog
Gregory,3.6,56.332,Dog
Adam,4.6,102.652,Cat
Victor,5.1,125.812,Cat
Matthew,5.4,139.708,Cat
Gerald,6.8,204.556,Dog
Harry,6.5,190.66,Dog
Walter,6.2,176.764,Cat
Eric,3.6,56.332,Cat
Earl,7.5,236.98,Cat
Terry,3.3,42.436,Cat
Arthur,3,28.54,Cat
Diana,7.7,246.244,Dog
Maria,6.9,209.188,Cat
Howard,6.9,209.188,Cat
Willie,3.4,47.068,Dog
Theresa,3.8,65.596,Dog
Donald,4.3,88.756,Cat
Anthony,5.6,148.972,Cat
Wayne,4.6,102.652,Cat
Evelyn,5.6,148.972,Dog
Diane,3.7,60.964,Dog
Susan,6,167.5,Dog
Gregory,7.5,236.98,Dog
Joseph,3.3,42.436,Dog
Craig,7.4,232.348,Cat
Jerry,4.3,88.756,Cat
Matthew,6.9,209.188,Cat
Benjamin,5.8,158.236,Dog
Louise,3.1,33.172,Cat
Keith,4.6,102.652,Dog
Dorothy,3.7,60.964,Cat
Teresa,7.1,218.452,Dog
Johnny,5.2,130.444,Dog
Richard,6.8,204.556,Cat
Adam,4.8,111.916,Dog
Judy,7.5,236.98,Dog
Elizabeth,4.6,102.652,Dog
Elizabeth,4.5,98.02,Dog
Joe,4.8,111.916,Cat
Paul,4.3,88.756,Cat
Jack,3.4,47.068,Cat
Nancy,3.6,56.332,Dog
Julie,3.9,70.228,Dog
Norma,4.5,98.02,Cat
Virginia,4.3,88.756,Dog
Heather,5.2,130.444,Dog
Judy,7.7,246.244,Cat
Kelly,6.6,195.292,Dog
Patrick,4,74.86,Cat
David,5.6,148.972,Cat
Billy,6.9,209.188,Dog
Peter,6.9,209.188,Dog
Anne,7.9,255.508,Cat
Kimberly,7.7,246.244,Dog
Brenda,5.1,125.812,Dog
Jane,4.1,79.492,Cat
Nicole,4.9,116.548,Cat
Brandon,5.6,148.972,Dog
Lisa,3.3,42.436,Dog
Billy,3.4,47.068,Cat
Norma,3.2,37.804,Cat
George,5.6,148.972,Dog
Paula,5.9,162.868,Dog
Gregory,5,121.18,Cat
Jose,4.4,93.388,Dog
Henry,4.8,111.916,Dog
Jennifer,4.4,93.388,Dog
James,7.8,250.876,Cat
Phillip,5.4,139.708,Dog
Gerald,5.3,135.076,Cat
Joyce,7.5,236.98,Cat
Martha,7.5,236.98,Cat
Kenneth,4.9,116.548,Cat
Shawn,6.8,204.556,Cat
Ryan,3.9,70.228,Dog
Sean,5.9,162.868,Dog
Billy,4.9,116.548,Dog
Rebecca,5.5,144.34,Dog
Eugene,6.9,209.188,Cat
Catherine,3.5,51.7,Cat
Sara,4.9,116.548,Dog
Brian,3.9,70.228,Cat
Willie,4.6,102.652,Cat
Barbara,7.8,250.876,Cat
Roy,3.6,56.332,Dog
David,4.4,93.388,Dog
Terry,7.8,250.876,Dog
Lois,5.2,130.444,Dog
Larry,5.3,135.076,Dog
Annie,5.8,158.236,Cat
Gary,6.6,195.292,Dog
Donna,7.8,250.876,Dog
Douglas,6.3,181.396,Cat
Rachel,3.2,37.804,Cat
